Nama_Tempat,Kategori,Jenis_Masakan,Latitude,Longitude,Alamat_Jalan,Kota
Ratu Galuh Seafood,restaurant,seafood,-6.3189242,107.2925958,,
Richcheese,restaurant,,-6.247770699999999,106.9138602,,
Chigo by Kenangan,fast_food,chicken,-6.320882599999999,107.0159844,,
Pempek Gaby Express,fast_food,fish_and_chips,-6.3207846,107.0160935,,
Crisbar,fast_food,,-6.320722099999999,107.01615859999998,,
Pecel Lele Eka Jaya,restaurant,seafood,-6.3206574,107.01622059999998,,
Perpustakaan Yayasan DHARMAIS,cafe,,-6.205379799999999,106.99135349999999,"Jalan Pisang No.13A, RT.004/RW.005, Harapan Jaya, Kecamatan Bekasi Utara, Kota Bekasi, Jawa Barat 17124",
Warung Mama Naya,supermarket,,-6.3576096,107.08991539999998,Jalan Garuda 7,kabupaten Bekasi
Mie Ayam Bakso Echo Barokah,restaurant,,-6.2896827,107.00004539999999,,
Upnormal Coffee,cafe,,-6.3669222,107.36047589999998,,
Soto Ayam Mbak Lily,restaurant,,-6.2948025,106.99972529999998,,
Amanda Brownies,bakery,,-6.3417147,107.12011729999999,,
KAKI LIMA PIK PENGGILINGAN,restaurant,daerahregional,-6.204903699999999,106.9349763,Jalan Raya Penggilingan,
Seblak Baso Aci Neng Iyen,fast_food,,-6.2731309,106.9471399,,
Timur Coffee,cafe,,-6.2717457,106.9469746,,
warung upnormal,cafe,coffee_shop,-6.2778152,107.04645749999999,Jalan Boulevard Grand Wisata,Bekasi
Kopi Oi,cafe,coffee_shop;indonesian,-6.259246599999999,107.0549706,,
warung nasi bebek,restaurant,,-6.205665299999998,107.01071799999998,,
Mie Ayam,restaurant,,-6.2062311,107.0141233,,
Nord Place,cafe,coffee_shop;indonesian,-6.121617999999999,106.902783,Jalan Cemara Angin,DKI Jakarta
Brewska Cafe,cafe,coffee_shop;indonesian;dessert,-6.1218574,106.9025415,Jalan Dewi-Dewi,DKI Jakarta
